Molecular Oxygen 60-GHz Band First- and Second-Order Line Mixing Parameters,,,,,,,
"Mixing Parameters from Makarov et al. (2011), Table 1 & Central Line Frequencies from Tretyakova et al. (2005), Table 5",,,,,,,
,,,,,,,
Quantum Transition (N±),Calc. Frequency m_i (GHz),y0 (bar__),y1 (bar__),g0 (bar__),g1 (bar__),__0 (GHz bar__),__1 (GHz bar__)
1-,118.750334,-0.041000,0.000000,0.000000,0.000000,0.0000000,0.0000000
1+,56.264774,0.265000,-0.013200,-0.083500,0.008430,0.0054500,0.0017000
3-,62.486253,-0.354000,0.058200,-0.094700,0.023400,-0.0175000,-0.0013000
3+,58.446588,0.530000,-0.098100,-0.218000,0.059600,0.0286000,0.0010700
5-,60.306056,-0.547000,0.114000,-0.160000,0.032600,-0.0430000,-0.0044400
5+,59.590983,0.589000,-0.153000,-0.162000,0.041000,0.0491000,0.0049300
7-,59.164204,-0.359000,-0.049400,0.019700,0.017400,-0.0229000,-0.0529000
7+,60.434778,0.276000,0.047600,0.132000,0.039000,0.0162000,0.0610000
9-,58.323877,-0.094200,0.186000,0.128000,0.262000,-0.0008660,-0.0193000
9+,61.150562,-0.012400,-0.235000,0.166000,0.305000,-0.0060900,0.0168000
11-,57.612486,0.064700,0.611000,0.088300,0.126000,-0.0011500,0.0393000
11+,61.800158,-0.155000,-0.674000,0.071300,0.079900,-0.0025600,-0.0448000
13-,56.968211,0.224000,0.628000,0.073500,-0.156000,0.0022100,0.0247000
13+,62.411220,-0.299000,-0.662000,0.058200,-0.216000,-0.0044700,-0.0265000
15-,56.363399,0.365000,0.583000,-0.003690,-0.253000,0.0060500,0.0102000
15+,62.997984,-0.426000,-0.598000,0.004390,-0.296000,-0.0074600,-0.0106000
17-,55.783815,0.466000,0.596000,-0.021300,-0.287000,0.0067500,0.0104000
17+,63.568526,-0.515000,-0.600000,-0.063400,-0.324000,-0.0076200,-0.0105000
19-,55.221384,0.546000,0.617000,-0.086800,-0.374000,0.0073200,0.0163000
19+,64.127775,-0.587000,-0.615000,-0.105000,-0.394000,-0.0078400,-0.0163000
21-,54.671180,0.608000,0.515000,-0.114000,-0.393000,0.0080200,0.0083500
21+,64.678910,-0.642000,-0.509000,-0.134000,-0.400000,-0.0083300,-0.0081500
23-,54.130025,0.640000,0.406000,-0.163000,-0.329000,0.0069600,0.0009220
23+,65.224078,-0.668000,-0.399000,-0.174000,-0.328000,-0.0071400,-0.0007600
25-,53.595775,0.655000,0.348000,-0.186000,-0.261000,0.0051700,-0.0017400
25+,65.764779,-0.679000,-0.340000,-0.195000,-0.258000,-0.0052600,0.0018400
27-,53.066934,0.669000,0.335000,-0.179000,-0.237000,0.0036800,-0.0015000
27+,66.302096,-0.689000,-0.327000,-0.186000,-0.232000,-0.0037600,0.0015700
29-,52.542418,0.689000,0.342000,-0.184000,-0.244000,0.0027700,-0.0005610
29+,66.836834,-0.706000,-0.332000,-0.189000,-0.239000,-0.0028300,0.0006410
31-,52.021429,0.715000,0.346000,-0.197000,-0.262000,0.0023000,-0.0000939
31+,67.369601,-0.729000,-0.336000,-0.200000,-0.254000,-0.0023500,0.0001730
33-,51.503360,0.743000,0.344000,-0.212000,-0.278000,0.0020900,-0.0000366
33+,67.900868,-0.754000,-0.334000,-0.214000,-0.268000,-0.0021100,0.0000990
35-,50.987745,0.771000,0.338000,-0.227000,-0.295000,0.0019400,-0.0001560
35+,68.431006,-0.780000,-0.327000,-0.228000,-0.283000,-0.0019700,0.0002240
37-,50.474214,0.802000,0.320000,-0.215000,-0.354000,0.0019900,-0.0007080
37+,68.960312,-0.807000,-0.309000,-0.216000,-0.336000,-0.0019900,0.0007430
