"Oxygen 60 GHz Fine-Structure Line Parameters (Tretyakova et al., 2005)",,,,,,,,,,,,
Combined Spectroscopic Dataset from Table 1 (RAD Measurements) & Table 5 (Updated MPM Model Parameters),,,,,,,,,,,,
,,,,,,,,,,,,
Quantum Transition (N±),Measured Freq. (MHz),Calc. Freq. mi (GHz),c_O2 Broadening (MHz/Torr),c_N2 Broadening (MHz/Torr),Calculated c_air (MHz/Torr),Calculated c_air (GHz/mbar),Intensity a1 (kHz/kPa),Intensity Exp. a2,Width Coeff. a3 (GHz/10^5 Pa),Mixing Coeff. a5 (10^-5 Pa^-1),Temp. Corr. a6 (10^-5 Pa^-1),Data Source Notes
1-,118750.340,118.750334,2.230,2.245,2.242,0.001682,940.3,0.010,1.664,-0.0439,0.0079,Table 1 & Table 5
1+,56264.774,56.264774,2.238,2.310,2.295,0.001721,543.4,0.014,1.703,0.3525,-0.0978,Table 1 & Table 5
3-,62486.256,62.486253,2.067,2.032,2.039,0.001530,"1,503.0",0.083,1.513,-0.4499,0.0844,Table 1 & Table 5
3+,58446.585,58.446588,2.011,2.008,2.009,0.001507,"1,442.1",0.083,1.491,0.6768,-0.1273,Table 1 & Table 5
5-,60306.053,60.306056,1.920,1.904,1.907,0.001431,"2,103.4",0.207,1.415,-0.6395,0.0699,Table 1 & Table 5
5+,59590.983,59.590983,1.890,1.900,1.898,0.001424,"2,090.7",0.207,1.408,0.6957,-0.0776,Table 1 & Table 5
7-,59164.204,59.164204,1.834,1.820,1.823,0.001367,"2,379.9",0.387,1.353,-0.6561,0.2309,Table 1 & Table 5
7+,60434.777,60.434778,1.816,1.802,1.805,0.001354,"2,438.0",0.386,1.339,0.6342,-0.2825,Table 1 & Table 5
9-,58323.876,58.323877,1.763,1.740,1.745,0.001309,"2,363.7",0.621,1.295,-0.1932,0.0436,Table 1 & Table 5
9+,61150.563,61.150562,1.767,1.734,1.741,0.001306,"2,479.5",0.621,1.292,0.1014,-0.0584,Table 1 & Table 5
11-,57612.487,57.612486,1.743,1.689,1.700,0.001275,"2,120.1",0.910,1.262,-0.5416,0.6056,Table 1 & Table 5
11+,61800.153,61.800158,1.747,1.690,1.702,0.001277,"2,275.9",0.910,1.263,0.5014,-0.6619,Table 1 & Table 5
13-,56968.212,56.968211,1.693,1.637,1.649,0.001237,"1,746.6",1.255,1.223,-0.3545,0.6451,Table 1 & Table 5
13+,62411.221,62.411220,1.701,1.624,1.640,0.001230,"1,915.4",1.255,1.217,0.3029,-0.6759,Table 1 & Table 5
15-,56363.397,56.363399,1.673,1.584,1.603,0.001202,"1,331.8",1.654,1.189,-0.2378,0.6547,Table 1 & Table 5
15+,62997.984,62.997984,1.668,1.559,1.582,0.001187,"1,490.2",1.654,1.174,0.1856,-0.6675,Table 1 & Table 5
17-,55783.813,55.783815,1.624,1.502,1.528,0.001146,945.3,2.109,1.134,-0.1172,0.6135,Table 1 & Table 5
17+,63568.524,63.568526,1.619,1.504,1.528,0.001146,"1,078.0",2.108,1.134,0.0658,-0.6139,Table 1 & Table 5
19-,55221.386,55.221384,1.586,1.452,1.480,0.001110,627.1,2.618,1.089,0.2560,0.2952,Table 1 & Table 5
19+,64127.777,64.127775,1.577,1.421,1.454,0.001090,728.7,2.617,1.088,-0.3036,-0.2895,Table 1 & Table 5
21-,54671.184,54.671180,1.541,Ñ,,,389.7,3.182,1.037,0.3558,0.2654,Table 1 (O2 only) & Table 5
21+,64678.912,64.678910,1.542,Ñ,,,461.3,3.181,1.038,-0.3968,-0.2590,Table 1 (O2 only) & Table 5
23-,54130.031,54.130025,1.520,Ñ,,,227.3,3.800,0.996,0.3170,0.3750,Table 1 (O2 only) & Table 5
23+,65224.077,65.224078,1.484,Ñ,,,274.0,3.800,0.996,-0.3528,-0.3680,Table 1 (O2 only) & Table 5
25-,53595.777,53.595775,1.464,Ñ,,,124.6,4.474,0.955,0.2227,0.5085,Table 1 (O2 est.) & Table 5
25+,65764.774,65.764779,1.460,Ñ,,,153.0,4.473,0.955,-0.2548,-0.5002,Table 1 (O2 est.) & Table 5
27-,Ñ,53.066934,Ñ,Ñ,,,64.3,5.201,0.906,0.1349,0.6206,Table 5 (Calculated)
27+,66302.098,66.302096,1.399,Ñ,,,80.4,5.200,0.906,-0.1660,-0.6091,Table 1 (O2 est.) & Table 5
29-,Ñ,52.542418,Ñ,Ñ,,,31.2,5.983,0.858,0.1388,0.6526,Table 5 (Calculated)
29+,Ñ,66.836834,Ñ,Ñ,,,39.8,5.982,0.858,-0.1680,-0.6393,Table 5 (Calculated)
31-,Ñ,52.021429,Ñ,Ñ,,,14.3,6.819,0.811,0.1667,0.6640,Table 5 (Calculated)
31+,Ñ,67.369601,Ñ,Ñ,,,18.6,6.818,0.811,-0.1956,-0.6475,Table 5 (Calculated)
33-,Ñ,51.503360,Ñ,Ñ,,,6.2,7.709,0.764,0.1947,0.6729,Table 5 (Calculated)
33+,Ñ,67.900868,Ñ,Ñ,,,8.2,7.708,0.764,-0.2216,-0.6545,Table 5 (Calculated)
35-,Ñ,50.987745,Ñ,Ñ,,,2.5,8.653,0.717,0.2246,0.6800,Table 5 (Calculated)
35+,Ñ,68.431006,Ñ,Ñ,,,3.4,8.652,0.717,-0.2492,-0.6600,Table 5 (Calculated)
37-,Ñ,50.474214,Ñ,Ñ,,,1.0,9.651,0.669,0.2566,0.6850,Table 5 (Calculated)
37+,Ñ,68.960312,Ñ,Ñ,,,1.3,9.650,0.669,-0.2773,-0.6650,Table 5 (Calculated)
