# The profiles in this file were derived from NASA MERRA2 reanalysis
# data, temporally and spatially averaged using the Giovanni online
# data system developed and maintained by the NASA Goddard Earth
# Sciences Data and Information Services Center (GES DISC).
#
# The following files were averaged over SON:
#
#  g4.curtainTime.M2IMNPASM_5_12_4_T.20061201-20161130.180W_90S_180E_66S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_QV.20061201-20161130.180W_90S_180E_66S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_O3.20061201-20161130.180W_90S_180E_66S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_H.20061201-20161130.180W_90S_180E_66S.nc
#
# MERRA references:
#   M. M. Rienecker et al. (2011), MERRA: NASA's Modern-Era Retrospective
#   Analysis for Research and Applications. J. Climate 24:3624.
#
#   A. Molod et al (2015), Development of the GEOS-5 atmospheric general
#   circulation model: evolution from MERRA to MERRA2.  Geoscience Model
#   Development 8:1339.
#
# MERRA is produced by the NASA/Goddard Global Modeling and Assimilation
# Office (GMAO).  MERRA data are archived and distributed by the
# GES DISC.
#
#  P[mb]     T[K]    xH2O[ppm]     xO3[ppm]     H[m]
   975.0    259.1   2.0285e+03   2.8444e-02    100.0
   950.0    259.2   2.0839e+03   2.8709e-02    260.1
   925.0    258.5   1.9790e+03   2.8814e-02    460.4
   900.0    258.0   1.8458e+03   2.8943e-02    668.6
   875.0    257.5   1.7099e+03   2.9091e-02    882.3
   850.0    256.9   1.5857e+03   2.9239e-02   1101.8
   825.0    256.1   1.4630e+03   2.9358e-02   1327.6
   800.0    255.3   1.3424e+03   2.9444e-02   1559.7
   775.0    254.4   1.2228e+03   2.9494e-02   1798.3
   750.0    253.2   1.1064e+03   2.9499e-02   2044.3
   725.0    251.8   9.8760e+02   2.9459e-02   2297.8
   700.0    250.1   8.6659e+02   2.9350e-02   2560.0
   650.0    246.7   6.6010e+02   2.9081e-02   3108.0
   600.0    243.3   5.0395e+02   2.8866e-02   3688.5
   550.0    240.1   3.8361e+02   2.9015e-02   4304.0
   500.0    236.0   2.7344e+02   2.9589e-02   4968.1
   450.0    231.2   1.8141e+02   3.0984e-02   5688.9
   400.0    225.7   1.0871e+02   3.3813e-02   6476.4
   350.0    219.8   5.8550e+01   3.9812e-02   7346.7
   300.0    213.9   2.9079e+01   5.6247e-02   8324.0
   250.0    208.6   1.3315e+01   1.0194e-01   9449.8
   200.0    206.1   7.1171e+00   2.1069e-01  10803.0
   150.0    204.5   4.0334e+00   3.2937e-01  12531.9
   100.0    203.4   3.9604e+00   4.6548e-01  14950.0
    70.0    205.2   4.2157e+00   9.1810e-01  17080.8
    50.0    208.6   4.7071e+00   1.5500e+00  19116.9
    40.0    211.8   5.0868e+00   2.1435e+00  20488.2
    30.0    216.5   5.4816e+00   3.0592e+00  22291.5
    20.0    223.3   5.7425e+00   4.2899e+00  24898.6
    10.0    235.6   5.9636e+00   5.3816e+00  29551.8
     7.0    242.8   6.1175e+00   5.6516e+00  32047.4
     5.0    249.3   6.2762e+00   5.6437e+00  34466.5
     4.0    253.3   6.3665e+00   5.4746e+00  36109.4
     3.0    258.1   6.4567e+00   5.0679e+00  38262.9
     2.0    266.4   6.5352e+00   4.2111e+00  41372.6
     1.0    274.7   6.5611e+00   2.6746e+00  46886.8
     0.7    272.9   6.5050e+00   2.0402e+00  49748.7
     0.5    266.5   6.3933e+00   1.6186e+00  52407.3
     0.4    262.6   6.2907e+00   1.3986e+00  54134.8
     0.3    257.7   6.1162e+00   1.2020e+00  56327.8
     0.1    234.6   5.1319e+00   1.2165e+00  64305.6
