# The profiles in this file were derived from NASA MERRA2 reanalysis
# data, temporally and spatially averaged using the Giovanni online
# data system developed and maintained by the NASA Goddard Earth
# Sciences Data and Information Services Center (GES DISC).
#
# The following files were averaged over JJA:
#
#  g4.curtainTime.M2IMNPASM_5_12_4_T.20061201-20161130.180W_66N_180E_90N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_QV.20061201-20161130.180W_66N_180E_90N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_O3.20061201-20161130.180W_66N_180E_90N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_H.20061201-20161130.180W_66N_180E_90N.nc
#
# MERRA references:
#   M. M. Rienecker et al. (2011), MERRA: NASA's Modern-Era Retrospective
#   Analysis for Research and Applications. J. Climate 24:3624.
#
#   A. Molod et al (2015), Development of the GEOS-5 atmospheric general
#   circulation model: evolution from MERRA to MERRA2.  Geoscience Model
#   Development 8:1339.
#
# MERRA is produced by the NASA/Goddard Global Modeling and Assimilation
# Office (GMAO).  MERRA data are archived and distributed by the
# GES DISC.
#
#  P[mb]     T[K]    xH2O[ppm]     xO3[ppm]     H[m]
  1000.0    275.5   6.6942e+03   3.1332e-02    110.5
   975.0    276.5   7.1279e+03   3.3607e-02    302.2
   950.0    276.5   7.0991e+03   3.5264e-02    511.5
   925.0    276.0   6.9277e+03   3.6695e-02    727.3
   900.0    275.4   6.6537e+03   3.7997e-02    948.9
   875.0    274.7   6.3267e+03   3.9284e-02   1176.3
   850.0    273.9   5.9621e+03   4.0499e-02   1409.7
   825.0    272.9   5.5669e+03   4.1616e-02   1649.3
   800.0    271.9   5.1502e+03   4.2661e-02   1895.3
   775.0    270.8   4.7309e+03   4.3650e-02   2148.3
   750.0    269.7   4.3182e+03   4.4564e-02   2408.5
   725.0    268.4   3.9191e+03   4.5443e-02   2676.3
   700.0    266.9   3.5244e+03   4.6346e-02   2952.1
   650.0    264.0   2.8303e+03   4.8573e-02   3528.5
   600.0    260.5   2.1909e+03   5.1370e-02   4143.7
   550.0    256.5   1.6288e+03   5.4687e-02   4802.3
   500.0    251.8   1.1761e+03   5.8520e-02   5511.8
   450.0    246.6   8.1620e+02   6.3193e-02   6281.1
   400.0    240.4   5.2742e+02   6.9872e-02   7120.1
   350.0    234.0   3.1811e+02   8.2951e-02   8047.1
   300.0    227.4   1.7016e+02   1.2226e-01   9086.1
   250.0    224.2   7.7211e+01   2.3085e-01  10285.4
   200.0    227.4   2.7579e+01   4.1673e-01  11759.2
   150.0    228.0   7.4096e+00   5.8137e-01  13680.3
   100.0    227.1   4.5954e+00   1.0995e+00  16379.9
    70.0    227.4   4.2791e+00   1.9239e+00  18752.1
    50.0    227.7   4.5611e+00   2.5820e+00  20993.6
    40.0    227.9   4.7114e+00   2.8548e+00  22481.8
    30.0    228.7   4.9740e+00   3.2022e+00  24403.1
    20.0    231.0   5.3107e+00   3.9461e+00  27127.6
    10.0    238.4   5.9991e+00   5.1966e+00  31884.4
     7.0    244.9   6.1445e+00   5.6822e+00  34401.8
     5.0    251.1   6.2647e+00   5.7872e+00  36839.7
     4.0    255.0   6.3888e+00   5.5823e+00  38494.1
     3.0    259.9   6.5551e+00   5.0187e+00  40662.6
     2.0    269.6   6.7542e+00   3.9604e+00  43800.7
     1.0    279.0   6.9374e+00   2.3611e+00  49398.6
     0.7    275.4   6.9678e+00   1.8675e+00  52298.0
     0.5    267.6   6.9716e+00   1.4972e+00  54975.0
     0.4    262.8   6.9680e+00   1.2962e+00  56706.9
     0.3    256.4   6.9600e+00   1.0897e+00  58895.1
     0.1    226.8   6.9216e+00   6.7738e-01  66726.3
