# The profiles in this file were derived from NASA MERRA2 reanalysis
# data, temporally and spatially averaged using the Giovanni online
# data system developed and maintained by the NASA Goddard Earth
# Sciences Data and Information Services Center (GES DISC).
#
# The following files were averaged over DJF:
#
#  g4.curtainTime.M2IMNPASM_5_12_4_T.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_QV.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_O3.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_H.20061201-20161130.180W_23N_180E_66N.nc
#
# MERRA references:
#   M. M. Rienecker et al. (2011), MERRA: NASA's Modern-Era Retrospective
#   Analysis for Research and Applications. J. Climate 24:3624.
#
#   A. Molod et al (2015), Development of the GEOS-5 atmospheric general
#   circulation model: evolution from MERRA to MERRA2.  Geoscience Model
#   Development 8:1339.
#
# MERRA is produced by the NASA/Goddard Global Modeling and Assimilation
# Office (GMAO).  MERRA data are archived and distributed by the
# GES DISC.
#
#  P[mb]     T[K]    xH2O[ppm]     xO3[ppm]     H[m]
  1000.0    280.8   9.5621e+03   3.5127e-02    153.1
   975.0    277.4   8.0928e+03   3.5913e-02    340.0
   950.0    275.7   7.4199e+03   3.6352e-02    548.2
   925.0    274.5   6.8569e+03   3.6875e-02    763.6
   900.0    273.4   6.2597e+03   3.7478e-02    984.8
   875.0    272.5   5.6084e+03   3.8128e-02   1211.2
   850.0    271.7   4.9539e+03   3.8777e-02   1443.3
   825.0    271.0   4.3401e+03   3.9389e-02   1681.3
   800.0    270.1   3.7977e+03   3.9944e-02   1926.0
   775.0    269.2   3.3430e+03   4.0428e-02   2177.4
   750.0    268.1   2.9673e+03   4.0835e-02   2435.7
   725.0    266.8   2.6448e+03   4.1181e-02   2701.5
   700.0    265.4   2.3537e+03   4.1487e-02   2975.3
   650.0    262.4   1.8651e+03   4.2062e-02   3548.5
   600.0    258.9   1.4604e+03   4.2653e-02   4160.0
   550.0    254.9   1.1221e+03   4.3379e-02   4815.6
   500.0    250.3   8.3977e+02   4.4383e-02   5521.4
   450.0    245.2   6.0033e+02   4.5995e-02   6285.9
   400.0    239.4   3.9485e+02   4.8938e-02   7120.7
   350.0    233.2   2.3952e+02   5.5826e-02   8044.1
   300.0    226.6   1.3047e+02   7.5489e-02   9079.9
   250.0    220.9   6.0441e+01   1.2590e-01  10273.1
   200.0    217.6   2.4953e+01   2.3604e-01  11702.6
   150.0    215.2   9.2405e+00   4.1106e-01  13526.4
   100.0    210.8   4.5493e+00   7.8649e-01  16052.9
    70.0    210.0   4.4083e+00   1.6165e+00  18246.0
    50.0    212.0   4.5491e+00   2.7904e+00  20323.0
    40.0    213.3   4.6370e+00   3.6601e+00  21711.7
    30.0    214.9   4.7963e+00   4.6743e+00  23515.2
    20.0    217.3   5.0347e+00   5.6538e+00  26078.8
    10.0    223.3   5.5158e+00   6.4941e+00  30544.2
     7.0    227.9   5.7129e+00   6.8116e+00  32897.5
     5.0    232.8   5.9487e+00   6.9793e+00  35163.1
     4.0    236.1   6.1336e+00   6.9143e+00  36694.6
     3.0    240.2   6.2698e+00   6.5219e+00  38700.8
     2.0    246.4   6.3863e+00   5.4138e+00  41585.9
     1.0    255.6   6.5029e+00   3.4323e+00  46690.0
     0.7    254.9   6.4912e+00   2.5601e+00  49360.1
     0.5    248.8   6.3845e+00   1.9679e+00  51845.4
     0.4    244.1   6.2686e+00   1.6987e+00  53453.9
     0.3    239.3   6.0510e+00   1.4900e+00  55489.7
     0.1    225.3   4.7440e+00   1.7317e+00  62995.0
