# The profiles in this file were derived from NASA MERRA2 reanalysis
# data, temporally and spatially averaged using the Giovanni online
# data system developed and maintained by the NASA Goddard Earth
# Sciences Data and Information Services Center (GES DISC).
#
# The following files were averaged over JJA:
#
#  g4.curtainTime.M2IMNPASM_5_12_4_T.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_QV.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_O3.20061201-20161130.180W_23N_180E_66N.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_H.20061201-20161130.180W_23N_180E_66N.nc
#
# MERRA references:
#   M. M. Rienecker et al. (2011), MERRA: NASA's Modern-Era Retrospective
#   Analysis for Research and Applications. J. Climate 24:3624.
#
#   A. Molod et al (2015), Development of the GEOS-5 atmospheric general
#   circulation model: evolution from MERRA to MERRA2.  Geoscience Model
#   Development 8:1339.
#
# MERRA is produced by the NASA/Goddard Global Modeling and Assimilation
# Office (GMAO).  MERRA data are archived and distributed by the
# GES DISC.
#
#  P[mb]     T[K]    xH2O[ppm]     xO3[ppm]     H[m]
  1000.0    290.9   1.7808e+04   3.8508e-02    139.4
   975.0    290.8   1.6556e+04   4.0450e-02    342.0
   950.0    290.3   1.5339e+04   4.1814e-02    558.3
   925.0    289.6   1.4238e+04   4.3014e-02    783.3
   900.0    288.7   1.3167e+04   4.4241e-02   1014.6
   875.0    287.9   1.2161e+04   4.5515e-02   1252.0
   850.0    286.9   1.1253e+04   4.6721e-02   1495.9
   825.0    285.7   1.0421e+04   4.7813e-02   1746.7
   800.0    284.4   9.6364e+03   4.8866e-02   2004.2
   775.0    283.1   8.8767e+03   4.9885e-02   2268.7
   750.0    281.6   8.1365e+03   5.0845e-02   2540.5
   725.0    280.1   7.4216e+03   5.1779e-02   2819.9
   700.0    278.4   6.7348e+03   5.2707e-02   3107.5
   650.0    275.0   5.5260e+03   5.4603e-02   3709.0
   600.0    271.2   4.4202e+03   5.6576e-02   4350.1
   550.0    267.2   3.4348e+03   5.8677e-02   5036.8
   500.0    262.7   2.5385e+03   6.0924e-02   5776.9
   450.0    257.6   1.7945e+03   6.3432e-02   6580.2
   400.0    251.6   1.1945e+03   6.6513e-02   7458.0
   350.0    244.9   7.4531e+02   7.0806e-02   8428.6
   300.0    236.9   4.1745e+02   8.0296e-02   9514.3
   250.0    228.4   1.9428e+02   1.0807e-01  10755.9
   200.0    221.4   6.5503e+01   1.7975e-01  12221.8
   150.0    215.5   1.5561e+01   2.8158e-01  14061.8
   100.0    210.9   5.2301e+00   5.3788e-01  16584.9
    70.0    212.7   4.4079e+00   1.2538e+00  18791.2
    50.0    216.5   4.5427e+00   2.2924e+00  20904.5
    40.0    218.7   4.6869e+00   3.1231e+00  22325.0
    30.0    221.6   4.8550e+00   4.4039e+00  24178.7
    20.0    225.9   5.0498e+00   6.2108e+00  26832.3
    10.0    233.4   5.5068e+00   7.9509e+00  31491.7
     7.0    239.0   5.7479e+00   8.1164e+00  33953.8
     5.0    245.1   5.9274e+00   7.7610e+00  36333.7
     4.0    248.9   6.0602e+00   7.1874e+00  37947.7
     3.0    253.7   6.2353e+00   6.1266e+00  40065.0
     2.0    260.9   6.4625e+00   4.5783e+00  43117.1
     1.0    267.5   6.7357e+00   2.8351e+00  48502.5
     0.7    263.7   6.8128e+00   2.2059e+00  51279.5
     0.5    255.6   6.8432e+00   1.7645e+00  53841.4
     0.4    250.0   6.8455e+00   1.5542e+00  55491.6
     0.3    243.5   6.8291e+00   1.3581e+00  57571.2
     0.1    220.0   6.5603e+00   1.3148e+00  65051.1
