# The profiles in this file were derived from NASA MERRA2 reanalysis
# data, temporally and spatially averaged using the Giovanni online
# data system developed and maintained by the NASA Goddard Earth
# Sciences Data and Information Services Center (GES DISC).
#
# The following files were averaged over MAM:
#
#  g4.curtainTime.M2IMNPASM_5_12_4_T.20061201-20161130.180W_66S_180E_23S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_QV.20061201-20161130.180W_66S_180E_23S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_O3.20061201-20161130.180W_66S_180E_23S.nc
#  g4.curtainTime.M2IMNPASM_5_12_4_H.20061201-20161130.180W_66S_180E_23S.nc
#
# MERRA references:
#   M. M. Rienecker et al. (2011), MERRA: NASA's Modern-Era Retrospective
#   Analysis for Research and Applications. J. Climate 24:3624.
#
#   A. Molod et al (2015), Development of the GEOS-5 atmospheric general
#   circulation model: evolution from MERRA to MERRA2.  Geoscience Model
#   Development 8:1339.
#
# MERRA is produced by the NASA/Goddard Global Modeling and Assimilation
# Office (GMAO).  MERRA data are archived and distributed by the
# GES DISC.
#
#  P[mb]     T[K]    xH2O[ppm]     xO3[ppm]     H[m]
  1000.0    287.4   1.3506e+04   2.6004e-02    135.0
   975.0    282.8   1.1289e+04   2.6691e-02    296.3
   950.0    281.4   1.0851e+04   2.6886e-02    505.9
   925.0    280.0   1.0287e+04   2.7125e-02    725.9
   900.0    278.8   9.5437e+03   2.7470e-02    951.3
   875.0    278.0   8.6086e+03   2.7959e-02   1182.1
   850.0    277.3   7.5615e+03   2.8552e-02   1418.7
   825.0    276.6   6.5115e+03   2.9186e-02   1661.5
   800.0    275.8   5.5652e+03   2.9817e-02   1910.9
   775.0    274.8   4.7954e+03   3.0400e-02   2167.2
   750.0    273.6   4.1973e+03   3.0922e-02   2430.9
   725.0    272.3   3.7087e+03   3.1406e-02   2702.2
   700.0    270.8   3.2796e+03   3.1881e-02   2981.5
   650.0    267.7   2.5981e+03   3.2853e-02   3566.3
   600.0    264.1   2.0548e+03   3.3843e-02   4190.1
   550.0    260.1   1.6084e+03   3.4899e-02   4858.0
   500.0    255.6   1.2371e+03   3.6085e-02   5577.9
   450.0    250.4   9.1112e+02   3.7556e-02   6358.8
   400.0    244.4   6.1636e+02   3.9631e-02   7211.1
   350.0    237.8   3.8734e+02   4.3429e-02   8153.4
   300.0    230.4   2.1751e+02   5.2883e-02   9208.5
   250.0    223.2   9.9742e+01   7.5327e-02  10418.3
   200.0    217.9   3.6887e+01   1.2523e-01  11855.8
   150.0    214.7   1.2027e+01   2.2193e-01  13677.3
   100.0    210.5   5.0029e+00   5.0257e-01  16197.6
    70.0    211.0   4.4894e+00   1.1872e+00  18394.3
    50.0    213.4   4.7572e+00   2.1781e+00  20483.5
    40.0    215.0   4.8767e+00   3.0015e+00  21881.9
    30.0    217.2   4.9844e+00   4.2210e+00  23701.4
    20.0    220.1   5.1026e+00   5.7949e+00  26295.6
    10.0    224.7   5.4246e+00   6.9096e+00  30807.9
     7.0    228.6   5.6548e+00   7.1712e+00  33171.4
     5.0    233.0   5.9018e+00   7.3028e+00  35441.3
     4.0    236.0   6.0620e+00   7.2189e+00  36973.2
     3.0    239.8   6.2497e+00   6.7844e+00  38977.7
     2.0    245.9   6.4565e+00   5.5324e+00  41856.7
     1.0    257.4   6.7058e+00   3.3688e+00  46970.2
     0.7    257.0   6.7767e+00   2.4981e+00  49661.8
     0.5    250.7   6.7941e+00   1.9393e+00  52166.5
     0.4    246.2   6.7842e+00   1.6730e+00  53788.1
     0.3    242.0   6.7451e+00   1.4573e+00  55843.9
     0.1    226.3   6.3148e+00   1.6391e+00  63430.0
